BRANCH,FAMILY,SUB FAMILY,BEER NAME,BREWERY,ABV,IBU,REGION
LAGER,AMERICAN LAGER,AMERICAN LAGER,Corona Extra,Grupo Modelo S.A. de C.V.,4.60%,10,Mexico
LAGER,AMERICAN LAGER,AMERICAN LAGER,Miller High Life,Miller,4.60%,7,Wisconsin
LAGER,AMERICAN LAGER,AMERICAN LAGER,Budweiser,Anheuser-Busch,5%,12,Missouri
LAGER,AMERICAN LAGER,LITE AMERICAN LAGER,Bud Light,Anheuser-Busch,4.20%,7,Missouri
LAGER,AMERICAN LAGER,LITE AMERICAN LAGER,Coors Light,Coors,4.20%,9,Colorado
LAGER,AMERICAN LAGER,LITE AMERICAN LAGER,Miller Lite,Miller,4.17%,12,Wisconsin
LAGER,GERMAN LAGER,MUNICH HELLES,Atwater's Lager,Atwater,5%,12,Michigan
LAGER,GERMAN LAGER,MUNICH HELLES,Schlafly Summer Lager,Schlafly,4.50%,17,Missouri
LAGER,GERMAN LAGER,MUNICH HELLES,Bikini Blonde Lager,Maui Brewing,4.50%,18,Hawaii
LAGER,GERMAN LAGER,DORTMUNDER,Great Lakes Dortmunder Gold,Great Lakes,5.80%,30,Ohio
LAGER,GERMAN LAGER,DORTMUNDER,Dog Days Lager,Two Brothers,5.10%,17,Illinois
LAGER,GERMAN LAGER,DORTMUNDER,Jinx Proof,Three Floyds,5.10%,35,Indiana
LAGER,PILSNER,GERMAN PILSNER,Summer Pils,Saint Arnold,4.90%,41,Texas
LAGER,PILSNER,GERMAN PILSNER,Bitburger Premium Pils,Bitburger Brauerei,4.80%,38,Germany
LAGER,PILSNER,GERMAN PILSNER,Avery Joe’s Premium American Pilsner,Avery,4.70%,42,Colorado
LAGER,PILSNER,BOHEMIAN PILSENER,Summerfest,Sierra Nevada,5%,28,California
LAGER,PILSNER,BOHEMIAN PILSENER,Mama's Lil Yella Pils,Oskar Blues,5.30%,35,Colorado
LAGER,PILSNER,BOHEMIAN PILSENER,Long Day Lager,Red Hare,4.90%,25,Georgia
LAGER,PILSNER,AMERICAN PILSNER,Fresh Cut Pilsner,Peak Organic,4.60%,19,Maine
LAGER,PILSNER,AMERICAN PILSNER,Tiny Bomb,Wiseacre,4.50%,23,Tennessee
LAGER,PILSNER,AMERICAN PILSNER,Two-One Niner,Laughing Dog,4.80%,9,Indiana
LAGER,EURO LAGER,VIENNA LAGER,Boston Lager,Boston Beer Company,4.90%,30,Massachusetts
LAGER,EURO LAGER,VIENNA LAGER,Big Bark Amber Lager,Live Oak,4.90%,29,Texas
LAGER,EURO LAGER,VIENNA LAGER,Cutlass,Heavy Seas Beer,5.40%,25,Maryland
LAGER,EURO LAGER,OKTOBERFEST/ MAERZEN,Festbier,Victory,5.60%,20,Pennsylvania
LAGER,EURO LAGER,OKTOBERFEST/ MAERZEN,Dogtoberfest,Flying,5.30%,30,Maryland
LAGER,EURO LAGER,OKTOBERFEST/ MAERZEN,Oktoberfest,Left Hand,6.60%,24,Colorado
LAGER,AMERICAN LAGER,AMERICAN AMBER,Yuengling Traditional Lager,Yuengling,4.40%,12,Pennsylvania
LAGER,AMERICAN LAGER,AMERICAN AMBER,Brooklyn Lager,Brooklyn,5.20%,28,New York
LAGER,AMERICAN LAGER,AMERICAN AMBER,Jomo Lager,Star Hill,5.57%,20,Virginia
LAGER,GERMAN LAGER,MUNICH DUNKEL,Premium Dunkel,Warsteiner Brauerei,4.90%,19,Germany
LAGER,GERMAN LAGER,MUNICH DUNKEL,Dark Cloud,Mother Earth,5.10%,19,North Carolina
LAGER,GERMAN LAGER,MUNICH DUNKEL,Pious Monk Dunkel,Church Brew Works,4.30%,20,Pennsylvania
LAGER,GERMAN LAGER,SCHWARZBIER,Howl,Magic Hat,4.60%,32,Vermont
LAGER,GERMAN LAGER,SCHWARZBIER,Bohemian Black Lager,Spoetzel,4.90%,18,Texas
